"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"CON","Andrew Griffiths
","35","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","John Grogan
","47","1","1","1","1","1","-1","-1","0"
"LAB","Andrew Gwynne
","39","1","0","1","1","0","-1","-1","0"
"CON","Sam Gyimah
","46","0","1","-1","0","0","-1","-1","0"
"LAB","Louise Haigh
","43","1","1","1","1","1","-1","-1","-1"
"CON","Kirstene Hair
","52","-1","-1","-1","-1","-1","0","0","-1"
"CON","Robert Halfon
","32","-1","-1","-1","1","-1","-1","0","1"
"CON","Luke Hall
","48","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Fabian Hamilton
","63","1","1","1","0","1","-1","-1","-1"
"CON","Stephen Hammond
","71","1","0","-1","1","1","-1","-1","1"
"CON","Greg Hands
","71","-1","-1","-1","-1","-1","-1","0","-1"
"LAB","David Hanson
","46","1","1","1","1","0","-1","-1","-1"
"LAB","Emma Hardy
","32","1","1","1","1","0","-1","-1","0"
"LAB","Harriet Harman
","69","1","1","1","1","1","-1","-1","-1"
"CON","Mark Harper
","42","-1","-1","-1","-1","-1","1","1","-1"
"CON","Richard Harrington
","49","1","0","-1","1","1","-1","-1","0"
"LAB","Carolyn Harris
","38","1","0","1","1","0","-1","-1","0"
"CON","Rebecca Harris
","27","-1","-1","-1","-1","-1","1","1","-1"
"CON","Trudy Harrison
","41","-1","-1","-1","-1","-1","1","-1","1"
"CON","Simon Hart
","45","-1","-1","-1","1","-1","0","0","1"
"LAB","Helen Hayes
","77","1","1","1","0","1","-1","-1","-1"
"CON","Sir John Hayes
","29","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Sue Hayman
","39","1","1","1","1","0","-1","-1","0"
"CON","Sir Oliver Heald
","49","1","-1","-1","0","-1","-1","-1","0"
"LAB","John Healey
","30","1","1","1","0","0","-1","0","0"
"CON","James Heappey
","46","-1","-1","-1","-1","-1","0","0","-1"
"CON","Chris Heaton-Harris
","41","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Peter Heaton-Jones
","43","-1","-1","-1","-1","-1","0","-1","-1"
"CON","Gordon Henderson
","35","-1","-1","-1","-1","-1","1","1","1"
"LAB","Sir Mark Hendrick
","44","1","1","1","1","1","-1","-1","1"
